RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,2023-11-30,2024-01-31,2024-10-31
394405,156,"Boulder, CO",msa,CO,2023-10-31,0.0,-0.7,-2.1
394646,157,"Green Bay, WI",msa,WI,2023-10-31,0.1,-0.2,0.0
394488,158,"Columbus, GA",msa,GA,2023-10-31,0.3,0.3,-0.1
395107,159,"South Bend, IN",msa,IN,2023-10-31,0.1,0.1,0.5
395109,160,"Spartanburg, SC",msa,SC,2023-10-31,0.3,0.3,1.3
394645,161,"Greeley, CO",msa,CO,2023-10-31,-0.2,-1.1,-2.7
394808,162,"Lubbock, TX",msa,TX,2023-10-31,-0.3,-1.0,-3.7
394471,163,"Clarksville, TN",msa,TN,2023-10-31,0.2,0.2,1.5
395028,164,"Roanoke, VA",msa,VA,2023-10-31,0.1,-0.1,-0.1
394579,165,"Evansville, IN",msa,IN,2023-10-31,0.1,-0.1,-0.9
394747,167,"Kingsport, TN",msa,TN,2023-10-31,0.6,1.0,2.3
394741,168,"Kennewick, WA",msa,WA,2023-10-31,-0.2,-0.4,-0.4
395179,169,"Utica, NY",msa,NY,2023-10-31,0.4,0.5,0.1
394660,170,"Hagerstown, MD",msa,MD,2023-10-31,0.1,-0.1,-0.5
394543,171,"Duluth, MN",msa,MN,2023-10-31,0.0,-0.2,-0.7
394937,172,"Olympia, WA",msa,WA,2023-10-31,0.0,-0.5,-0.4
394803,173,"Longview, TX",msa,TX,2023-10-31,-0.3,-0.8,-2.2
395229,174,"Wilmington, NC",msa,NC,2023-10-31,0.2,-0.1,1.2
395061,175,"San Luis Obispo, CA",msa,CA,2023-10-31,0.3,-0.2,-1.5
753875,176,"Crestview, FL",msa,FL,2023-10-31,-0.3,-0.8,0.1
394851,177,"Merced, CA",msa,CA,2023-10-31,0.0,-0.7,-1.1
395197,178,"Waco, TX",msa,TX,2023-10-31,-0.4,-0.9,0.1
394447,179,"Cedar Rapids, IA",msa,IA,2023-10-31,0.1,-0.4,-2.4
394348,180,"Atlantic City, NJ",msa,NJ,2023-10-31,0.5,0.8,3.1
394412,181,"Bremerton, WA",msa,WA,2023-10-31,-0.2,-1.0,-2.0
395103,182,"Sioux Falls, SD",msa,SD,2023-10-31,0.0,-0.2,-0.6
